source_id,name,food_group,energy_kcal,protein_g,fat_g,carb_g,fiber_g
P070,Sankata paarai,Marine Fish,103.7,21.87,1.68,0.0,0.0
P071,Sardine,Marine Fish,152.2,17.91,8.99,0.0,0.0
P072,Shark,Marine Fish,95.1,21.6,0.83,0.0,0.0
P073,"Shark, hammer head",Marine Fish,103.3,23.4,0.8,0.0,0.0
P074,"Shark, spotted",Marine Fish,91.8,20.95,0.75,0.0,0.0
P075,Shelavu,Marine Fish,106.6,22.46,1.74,0.0,0.0
P076,Silan,Marine Fish,151.3,22.72,6.68,0.0,0.0
P077,Silk fish,Marine Fish,97.5,20.65,1.53,0.0,0.0
P078,Silver carp,Marine Fish,132.6,21.71,5.17,0.0,0.0
P079,Sole fish,Marine Fish,87.7,19.05,1.18,0.0,0.0
P080,Stingray,Marine Fish,97.5,23.98,0.68,0.0,0.0
P081,Tarlava,Marine Fish,98.9,21.72,1.2,0.0,0.0
P082,Tholam,Marine Fish,103.3,20.78,2.13,0.0,0.0
P083,Tilapia,Marine Fish,83.4,18.48,1.08,0.0,0.0
P084,Tuna,Marine Fish,112.3,24.5,1.44,0.0,0.0
P085,"Tuna, striped",Marine Fish,96.3,21.28,1.12,0.0,0.0
P086,Valava,Marine Fish,98.0,21.8,1.06,0.0,0.0
P087,Vanjaram,Marine Fish,136.2,22.28,5.18,0.0,0.0
P088,Vela meen,Marine Fish,128.3,22.16,4.34,0.0,0.0
P089,Vora,Marine Fish,100.9,20.14,2.14,0.0,0.0
P090,Whale shark,Marine Fish,95.8,21.83,0.82,0.0,0.0
P091,Xiphinis,Marine Fish,88.4,19.82,0.88,0.0,0.0
P092,"Eggs, Cat fish",Marine Fish,143.4,24.68,5.28,0.0,0.0
Q001,Crab,Marine Shellfish,82.0,10.23,1.41,0.0,0.0
Q002,"Crab, sea",Marine Shellfish,67.6,15.36,0.6,0.0,0.0
Q003,"Lobster, brown",Marine Shellfish,69.8,15.96,0.56,0.0,0.0
Q004,"Lobster, king size",Marine Shellfish,89.6,18.54,0.78,0.0,0.0
Q005,Mud crab,Marine Shellfish,45.4,10.0,0.55,0.0,0.0
Q006,Oyster,Marine Shellfish,60.2,9.51,2.44,0.0,0.0
Q007,"Tiger prawns, brown",Marine Shellfish,65.2,14.85,0.56,0.0,0.0
Q008,"Tiger Prawns, orange",Marine Shellfish,64.5,14.25,0.74,0.0,0.0
R001,"Clam, green shell",Marine Mollusks,58.1,12.14,0.98,0.0,0.0
R002,"Clam, white shell, ribbed",Marine Mollusks,59.8,11.82,1.34,0.0,0.0
R003,Octopus,Marine Mollusks,79.8,14.71,1.12,0.0,0.0
R004,"Squid, black",Marine Mollusks,80.1,16.1,1.07,0.0,0.0
R005,"Squid, hard shell",Marine Mollusks,76.5,16.82,0.93,0.0,0.0
R006,"Squid, red",Marine Mollusks,78.6,16.25,1.44,0.0,0.0
R007,"Squid, white, small",Marine Mollusks,84.4,17.41,1.15,0.0,0.0
S001,Cat fish,Fresh Water Fish and Shellfish,123.8,15.86,6.24,0.0,0.0
S002,Catla,Fresh Water Fish and Shellfish,94.2,17.94,2.15,0.0,0.0
S003,Freshwater Eel,Fresh Water Fish and Shellfish,107.8,20.41,2.63,0.0,0.0
S004,Gold fish,Fresh Water Fish and Shellfish,94.6,16.91,2.94,0.0,0.0
S005,Pangas,Fresh Water Fish and Shellfish,203.6,17.12,16.77,0.0,0.0
S006,Rohu,Fresh Water Fish and Shellfish,102.3,19.71,2.39,0.0,0.0
S007,Crab,Fresh Water Fish and Shellfish,78.2,13.23,0.89,0.0,0.0
S008,"Prawns, big",Fresh Water Fish and Shellfish,90.8,19.24,0.52,0.0,0.0
S009,"Prawns, small",Fresh Water Fish and Shellfish,71.0,13.07,0.78,0.0,0.0
S010,Tiger prawns,Fresh Water Fish and Shellfish,67.9,14.24,0.66,0.0,0.0
T001,Coconut oil,Edible Oils and Fats,0.0,0.0,100.0,0.0,0.0
T002,Corn oil,Edible Oils and Fats,0.0,0.0,100.01,0.0,0.0
T003,Cotton seed oil,Edible Oils and Fats,0.0,0.0,99.99,0.0,0.0
T004,Gingelly oil,Edible Oils and Fats,0.0,0.0,100.0,0.0,0.0
T005,Groundnut oil,Edible Oils and Fats,0.0,0.0,100.0,0.0,0.0
T006,Mustard oil,Edible Oils and Fats,0.0,0.0,100.0,0.0,0.0
T007,Palm oil,Edible Oils and Fats,0.0,0.0,100.0,0.0,0.0
T008,Rice bran oil,Edible Oils and Fats,0.0,0.0,100.0,0.0,0.0
T009,Safflower oil,Edible Oils and Fats,0.0,0.0,100.01,0.0,0.0
T010,Safflower oil (blended),Edible Oils and Fats,0.0,0.0,100.0,0.0,0.0
T011,Soyabean oil,Edible Oils and Fats,0.0,0.0,100.0,0.0,0.0
T012,Sunflower oil,Edible Oils and Fats,0.0,0.0,100.0,0.0,0.0
T013,Ghee,Edible Oils and Fats,0.0,0.0,100.0,0.0,0.0
T014,Vanaspati,Edible Oils and Fats,0.0,0.0,100.0,0.0,0.0
